ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
47;VfB Stuttgart;9/9/1893;Los Suevos;VfBS;Stuttgart;Mercedes Benz Arena;http://www.vfb.de/;vfb;718;5;3;;;;;
48;Hannover 96;12/4/1896;Los Rojos;H96;Hannover;AWD Arena;http://www.hannover96.de/;hannover96;713;5;3;;;;;
49;VfL Wolfsburg;12/09/1945;Los Lobos;VfLW;Wolfsburgo;Volkswagen Arena;http://www.vfl-wolfsburg.de/;VfL_Wolfsburg;720;5;3;;;;;
50;SV Werder Bremen;4/02/1899;El Verde y Blanco;SVWB;Werder Bremen;Weserstadion;http://www.werder.de/;werderbremen;721;5;3;;;;;
51;FC Nuremberg;05/04/1900;La Leyenda;FCN;Nuremberg;Easy Credit Stadion;http://www.fcn.de/;1_fc_nuernberg;710;5;3;;;;;
52;TSG 1899 Hoffenheim;1/7/1899;El increíble Hoffenheim;TSGH;Hoffenheim;Rhein Neckar Arena;http://www.achtzehn99.de/;achtzehn99;1260;5;3;;;;;
53;SC Friburgo;30/5/1904;Bosque Negro, Brasileros de Breisgau;SCF;Friburgo;Badenova Stadion;http://www.scfreiburg.com/;sc_freiburg;1717;5;3;;;;;
54;FSV Mainz 05;16/3/1905;El 05;M05;Mainz;Coface Arena;http://www.mainz05.de/;1FSVMainz05;1718;5;3;;;;;
55;FC Augsburg;08/08/1907;Fuggers;FCA;Augsburg;Impuls Arena;http://www.fcaugsburg.de/;fcaugsburg;3305;5;3;;;;;
56;Hamburgo S.V.;29/9/1887;Los Dinosaurios;HSV;Hamburgo;Imtech Arena;http://www.hsv.de/;hsv;712;5;3;;;;;
57;Eintracht Frankfurt;8/3/1899;Las Águilas;EFF;Eintracht Frankfurt;Commerzbank Arena;http://www.eintracht.de/;Eintracht_News;;5;3;;;;;
58;Greuther Fürth;23/9/1903;Los Tréboles;SGF;Greuther Fürth;Trolli Arena;http://www.greuther-fuerth.de/;kleeblattfuerth;;5;3;;;;;
59;Fortuna Düsseldorf;5/5/1895;F 95;FD95;Fortuna Düsseldorf;ESPRIT arena;http://www.f95.de/;F95Duesseldorf ;;5;3;;;;;
60;Real Madrid Club de Fútbol;03/06/1902;Blancos, Merengues;RMFC;Real Madrid ;Santiago Bernabéu ;http://www.realmadrid.com;realmadrid;39;7;68;;;;;
61;Fútbol Club Barcelona;29/9/1899;Barça, Blaugranas, Culés;FCB;Barcelona;Camp Nou;http://www.fcbarcelona.com;fcbarcelona;31;7;68;;;;;
62;Valencia Club de Fútbol;18/3/1919;Los Ches;VCF;Valencia;Mestalla;http://www.valenciacf.com;valenciacf;42;7;68;;;;;
63;Málaga Club de Fútbol;25/5/1948;Malaguistas, Boquerones;MCF;Málaga;La Rosaleda;http://www.malagacf.com;malagacf;25;7;68;;;;;
64;Club Atlético de Madrid;26/4/1903;Colchoneros, Atleti, Rojiblancos;CAM;Atlético Madrid;Vicente Calderón;http://www.clubatleticodemadrid.com;atleti;29;7;68;;;;;
65;Levante Unión Deportiva;09/09/1909;Los Granotas;LUD;Levante;Ciudad de Valencia;http://www.levanteud.com/;LevanteUD;35;7;68;;;;;
66;Club Atlético Osasuna;25/10/1920;Los Rojillos;CAO;Osasuna;El Sadar;http://www.osasuna.es/;CAOsasuna;37;7;68;;;;;
67;Real Club Deportivo Mallorca;27/2/1916;Barralets, Bermellones;RCDM;Mallorca;Iberostar ;http://www.rcdmallorca.es/;rcd_mallorca;36;7;68;;;;;
68;Sevilla Fútbol Club;14/10/1905;Palanganas, Nervionenses;SFC;Sevilla ;Ramón Sánchez Pizjuán;http://www.sevillafc.es;sevillafc;41;7;68;;;;;
69;Athletic Club de Bilbao;1898;Los Leones;ACB;Athletic;San Mamés;http://www.athletic-club.net/;AthleticClub;30;7;68;;;;;
70;Getafe Club de Fútbol;07/08/1983;Azulones, Geta;GCF;Getafe;Coliseum Alfonso Pérez;http://www.getafecf.com/;GetafeFC ;24;7;68;;;;;
71;Real Sociedad de Fútbol ;09/07/1909;Txuri Urdin, La Real;RSF;Real Sociedad;Anoeta;http://www.realsociedad.com/;RealSociedad;40;7;68;;;;;
72;Real Betis Balompié ;09/12/1907;Béticos, Verdiblancos;RBB;Real Betis ;Benito Villamarín;http://www.realbetisbalompie.es/;RBetisOficial;32;7;68;;;;;
73;Real Club Deportivo Espanyol;28/10/1900;Los Periquitos;RCDE;Espanyol;Cornellá-El Prat;http://www.rcdespanyol.com/;rcdespanyol;34;7;68;;;;;
74;Rayo Vallecano de Madrid;29/5/1924;Rayistas, Vallecanos;RVM;Rayo Vallecano;Campo de Fútbol de Vallecas;http://www.rayovallecano.es/;RVMOficial;3310;7;68;;;;;
75;Real Zaragoza;18/3/1932;Maños, Blanquillos;RZ;Zaragoza;La Romareda;http://www.realzaragoza.com/;RZ_oficial;28;7;68;;;;;
76;Granada Club de Fútbol;04/06/1931;Rojiblanco Horizontal, El 5001, Los Filipinos;GCF;Granada;Nuevo Los Cármenes;http://www.granadacf.es/;GranadaCdeF;3311;7;68;;;;;
77;Real Club Deportivo de la Coruña;03/02/1906;El Depor;RCDL;Deportivo;Riazor;http://www.canaldeportivo.com/;canaldeportivo;;7;68;;;;;
78;Real Club Celta de Vigo ;23/8/1923;Celtiñas, Celestes;RCCV;Celta ;Balaídos;http://www.celtavigo.net/;rccelta_oficial;;7;68;;;;;
79;Real Valladolid Club de Fútbol;20/6/1928;Pucelanos;RV;Valladolid;José Zorrilla;http://www.realvalladolid.es/;realvalladolid;;7;68;;;;;
80;Montpellier Hérault Sport Club;1919;Le Petit Chelil;MHSC;Montpellier;De la Mosson;http://www.mhscfoot.com/;Montpellier_HSC;1728;9;75;;;;;
81;Paris Saint Germain Football Club;06/10/1970;Les Parisiens, Rouge et Bleu;PSG;Paris Saint Germain ;Parc des Princes;http://www.psg.fr/;PSG_inside;1370;9;75;;;;;
82;Lille Olympique Sporting Club;23/9/1992;Les Dogues;LOSC;Lille;Lille-Metropole;http://www.losc.fr/;losclive ;1725;9;75;;;;;
83;Olympique de Lyon;03/08/1950;Les Gones;OL;Lyon;Gerland;http://www.olweb.fr/;OL_officiel;794;9;75;;;;;
84;Football Club des Girondins de Bordeaux;1/10/1881;Marines et blancs, Les Girondins;FCGB;Bordeaux;Jacques Chaban-Delmas;http://www.girondins.com/;girondins;1309;9;75;;;;;
85;Association Sportive de Saint Etienne Loire;1933;Les Verts;ASSE;Saint Etienne;Geoffroy-Guichard;http://www.asse.fr/;ASSEofficiel;1372;9;75;;;;;
86;Stade Rennais Football Club;03/10/1901;Les Rouges et Noirs ;SRFC;Rennes;De la Route de Lorient;http://www.staderennais.com/;SRFC_Officiel;1732;9;75;;;;;
87;Toulouse Football Club;25/5/1970;Le Téfécé, Le Tef;TFC;Toulouse;Municipal de Toulouse;http://www.tfc.info/;toulousefc;1733;9;75;;;;;
88;Evian Thonon Gaillard Football Club;07/01/2007;Les Croix de Savoie, Les Roses;ETGFC;Evian;Parc des Sports;http://www.etgfc.com/;etgfc;3299;9;75;;;;;
89;Olympique de Marsella;1899;Les Olympiens, Les Phocéens;OM;Olympique ;Vélodrome;http://www.om.net;OM_Officiel ;793;9;75;;;;;
90;Association Sportive Nancy Lorraine;16/6/1967;Les Chardons;ASNL;Nancy;Marcel Picot;http://www.asnl.net;ASNancyLorraine;1367;9;75;;;;;
91;Valenciennes Football Club;1913;Les Athéniens;VAFC;Valenciennes;Du Hainaut;http://www.va-fc.com/;VAFCofficiel ;1734;9;75;;;;;
