author:;stream:;highlight; videocategory;createdAt; title;tag_idols;tag_teams;tag_texts;content
1;1_jq0c1vkf;true;3;14/01/2013;Los fans de Javier Pastore y su apoyo incondicional;183;133, 35;Fans, Aeropuerto Ezeiza,  Pastore Fans Club,  Selección Argentina;Los fans de Javi Pastore lo reciben en el aeropuerto de Ezeiza demostrando toda su pasión. La historia de Lucila y Fátima, presidentas del Fans Club del Flaco, cuentan sus comienzos y sus experiencias junto al ídolo. 
1;1_idpqwple;true;3;14/01/2013;Marcha de San Lorenzo por la vuelta a Boedo;;13;Cuervo, Ciclón, Boedo, La Vuelta a Boedo, CASLA, Hinchada, Fans, Viejo Gasómetro;Los hinchas de San Lorenzo marcharon a Plaza de Mayo para pedir por la vuelta a Boedo. Toda la pasión y el sentimiento de 100 mil hinchas cuervos.
1;1_gfyqfind;true;3;14/01/2013;Un fanático de San Lorenzo como vos…de los que dejan todo;208;13;Cuervo, Ciclón, Boedo, La Vuelta a Boedo, CASLA, Hinchada, Fans, Viejo Gasómetro, ;La historia de Mingo y su pasión por San Lorenzo. Cómo se hizo hincha del Ciclón, que locuras hizo y cómo vive un partido. El auténtico sentimiento de un verdadero fan.
1;1_7su0nmlj;true;3;16/01/2013;Trailer Fans;11, 154, 10, 139, 157, 149, 73, 85, 90, 239, 168, 183, 190, 98, 50, 192, 171, 51, 201, 61;13, 1, 60, 61, 136, 15, 123, 7, 81, 237, 35, 133;Fans, CASLA, FCB, Tano Pasman, PSG, Uruguay, El Gran Diablo, ;La pasión de los hinchas por sus clubes y el sentimiento de los fans por sus ídolos, demostrado en la fidelidad por los colores y el aguante hacia los cracks. Seguirlos a todos lados, alentarlos y acompañarlos en todo momento. Los fanáticos y su manera de vivir el fútbol. 
1;1_3depxvsj;true;3;16/01/2013;Trailer Fans -eng-;11, 154, 10, 139, 157, 149, 73, 85, 90, 239, 168, 183, 190, 98, 50, 192, 171, 51, 201, 61;13, 1, 60, 61, 136, 15, 123, 7, 81, 237, 35, 133;Fans, CASLA, FCB, Tano Pasman, PSG, Uruguay, El Gran Diablo, ;La pasión de los hinchas por sus clubes y el sentimiento de los fans por sus ídolos, demostrado en la fidelidad por los colores y el aguante hacia los cracks. Seguirlos a todos lados, alentarlos y acompañarlos en todo momento. Los fanáticos y su manera de vivir el fútbol. 
1;1_rqyt1u0z;true;5;16/01/2013;Agustín Vuletich y su manera de ejectuar tiros libres;255;222, 8,;Trucos;Agustín Vuletich -ex delantero de Vélez, ahora en Cobresal de Chile- explica su preferencia al momento de patear tiros libres. Porqué le apunta al palo del arquero y busca darle seco al balón. 
1;1_d5zs2tli;true;5;16/01/2013;Diego Díaz enseña a jugar de primera cuando se está de espaldas;;;Amigos, Diego Díaz, Artistas, Periodistas, Trucos, ;Diego Díaz, ex futbolista y desde hace tiempo periodista deportivo, explica la importancia de jugar de primera cuando se está de espaldas. Además, la ayuda del diálogo con los compañeros para lograr el objetivo de tener la pelota en equipo y no perderla con facilidad.
1;1_5nxe053n;true;5;16/01/2013;El músico Joe Fernández explica sus rústicos consejos para defensores centrales;;;Amigos, Joe Fernández, Amigos, Artistas, Músicos, Periodistas, Trucos, Defensores, Faltas, Tarjeta Roja;El músico Joe Fernández muestra tres formas de hacer una falta que le duela al rival, pero que el árbitro dude en cobrarla o no. El Coleccionista de Huesos, como lo apodan en el equipo de artistas, cuenta cual debería ser la función de todos los defensores centrales: maltratar a los habilidosos.
1;1_i511bmgq;true;5;16/01/2013;Federico Freire enseña como dormir la pelota en la frente;100;8;Trucos, ;Federico Freire, volante de Vélez, revela cuáles son las claves para dormir la pelota en la cabeza. Sus consejos para mantener el balón la mayor cantidad de tiempo posible pegado a la frente. 
1;1_35yj8o74;true;7;16/01/2013;Freire y los mellizos Desábato vs profesionales del wakeboard, desafío de pegada;100, 75, 76;8;Wakeboard, Paseo del Tigre, Cutún Martin, Santiago Sequeiros, Desafíos;Federico Freire y los mellizos Desábato -jugadores surgidos de las inferiores de Vélez- se enfrentan a Cutún Martin y Santiago Sequeiros -wakeboarders profesionales-, para ver quien logra embocar la pelota en la lancha pateando desde 25 metros. Fútbol vs wakeborad, ¿quién gana?
1;1_hy14i5cc;true;7;16/01/2013;Fútbol vs Rugby, ¿quién acierta más veces al travesaño?;255;222, 8,;Bautista Güemes, Desafíos, CUBA, Rugby, ;¿Quién le pega al travesaño? Fútbol vs Rugby. Agustín Vuletich -ex Vélez, ahora en Cobresal de Chile- vs Bautista Güemes -CUBA Rugby-.
1;1_mbhr8dz7;true;7;16/01/2013;Lucas Orban vs Cristian Lema,  desafío quién le pega más al travesaño por un asado;174;2;Cristian Lema, Desafíos, Apuestas;Lucas Orban vs Cristian Lema se desafían para ver quién le pega más veces al travesaño. Al finalizar el entrenamiento, los defensores apuestan una cena, ¿quién gana?.
1;1_qcbcekb0;true;5;16/01/2013;Gonzalo Quesada y sus consejos para patear a los palos;;;Gonzalo Quesada, Racing Metro, Los Pumas, Francia, París, Rugby, ;"Gonzalo Quesada, ex figura de los Pumas, detalla sus consejos para patear a los palos. Su trabajo en la Selección de Francia y en el Racing Metro; y su perfeccionamiento como entrenador de pateadores. Además, el ""Queso"" cuenta sobre la importancia de tener una rutina mental para automatizar movimientos."
1;1_r42689sx;true;5;16/01/2013;La gran Terre, la jugada del amigo de Fito Rinaudo;199;;Terre, Portugal, Trucos;"Terre, futbolista de la Segunda de Portugal y amigo de Fito Rinaudo, nos muestra su truco favorito. Cómo levantar la pelota y traerla por arriba de la cabeza en un solo movimiento, con la ""Gran Terre""."
1;1_b2uxwagp;true;5;16/01/2013;La magia de Iya Traore, referente mundial de freestyle Parte 1;;81;Iya Traore, Francia, París, Guinea, Guinea-Conakri, Freestyle Soccer, Freestyle Fútbol, Trucos, PSG, Montmartre, Sacré Cœur, ;Todo el repertorio del Nro. 1 del mundo en freestyle fútbol, Iya Traore. Un compilado de sus mejores trucos frente a la Basílica Sacré Cœurn -Sagrado Corazón- en París. El crack de Guinea que pasó por el PSG, demuestra todo su potencial.
1;1_yjitssyv;true;5;16/01/2013;La magia de Iya Traore, referente mundial de freestyle Parte 2;;81;Iya Traore, Francia, París, Guinea, Guinea-Conakri, Freestyle Soccer, Freestyle Fútbol, Trucos, PSG, Montmartre, Sacré Cœur, ;Iya Traore, referente mundial del fútbol freestyle, demuestra toda su capacidad realizando dos trucos increíbles. Frente a la Basílica Sacré Cœur -Sagrado Corazón- en París, el ex jugador del PSG aporta sus consejos y detalla como ensayar sus piruetas.
1;1_gli69wmj;true;5;16/01/2013;La magia de Iya Traore, referente mundial de freestyle Parte 3;;81;Iya Traore, Francia, París, Guinea, Guinea-Conakri, Freestyle Soccer, Freestyle Fútbol, Trucos, PSG, Montmartre, Sacré Cœur, ;El especialista en freestyle Iya Traore enseña un par de trucos de alta complejidad en el barrio parisino de Montmartre. El nacido en Guinea revela cuáles son las claves para hacer sus acrobacias y mantener siempre el equilibrio con la pelota. 
1;1_63d39pzr;true;5;16/01/2013;Lucas Orban, defensor de Tigre, muestra un lindo truco al hacer jueguitos;174;2;Trucos;Lucas Orban, defensor de Tigre, enseña un buen truco para el momento de hacer jueguitos con la pelota. Cómo retener el balón entre el talón y el glúteo, para después tirarlo para arriba y que caiga de nuevo en los pies.
1;1_v99rmzis;true;5;16/01/2013;Lucas Rodríguez, de los Murciélagos, explica como trasladar el balón;;;Trucos, No Videntes, Lucas Rodríguez, Ciegos, Los Murciélagos, Selección Argentina de Fútbol No Vidente;Lucas Rodríguez, una de las figuras de la Selección Argentina de Fútbol No Vidente, muestra como se traslada la pelota en su especialidad. El jugador de los Murciélagos explica los pasos para aprender a dominar el balón y da algunos consejos.
1;1_keysls5v;true;5;16/01/2013;Patricio Toranzo revela su técnica para patear tiros libres y pegarle al balón;241;16;Trucos, Cilindo de Avellaneda, ;Patricio Toranzo explica su particular técnica para ejecutar tiros libros y pegarle al balón en movimiento. El ex volante de Racing también aporta sus consejos para recepcionar mejor la pelota y tener un mayor control.
1;1_7ky5dzsd;true;5;16/01/2013;Pipino Cuevas muestra como preparar un remate con una bicicleta previa;68;246, 244;Paraguay, Trucos, Bicicleta, ;El hábil delantero Nelson Pipino Cuevas, explica como preparar un buen remate con una bicicleta previa. Con su truco busca desorientar al rival y quedar perfilado para patear al arco.
1;1_e0hk75az;true;5;16/01/2013;Román Martínez revela las claves para bajar la pelota con la nuca;146;2, 7;Román Martínez, Tigre, Estudiantes, Trucos;El talentoso volante Román Martínez enseña como dormir la pelota en la nuca. El ex jugador de Tigre actualmente en Estudiantes, muestra su truco preferido y revela el secreto para realizarlo.
1;1_95bul04z;true;5;16/01/2013;Trailer Trucos;146, 174, 68, 241, 100;;Práctica, Trucos, Gambetas, ;Los ídolos te enseñan cómo realizar sus mejores trucos, aportándote sus consejos más importantes. Todas sus habilidades, piruetas y secretos con la pelota.
1;1_xwos4v2u;true;7;16/01/2013;Trailer Versus -eng-;100, 75, 76, 100, 174, 255;2, 8;Cristian Lema, Bautista Güemes, Cutún Martin, Santiago Sequeiros, Desafíos, Versus;La diversión de competir y medirse en un desafío. Los ídolos se enfrentan entre sí y el que pierde paga la apuesta. Después del entrenamiento o en un ambiente bien informal, demuestran que no les gusta perder a nada.
1;1_ntq0g07y;true;7;16/01/2013;Trailer Versus ;100, 75, 76, 100, 174, 255;2, 8;Cristian Lema, Bautista Güemes, Cutún Martin, Santiago Sequeiros, Desafíos, Versus;La diversión de competir y medirse en un desafío. Los ídolos se enfrentan entre sí y el que pierde paga la apuesta. Después del entrenamiento o en un ambiente bien informal, demuestran que no les gusta perder a nada.
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
